start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month_x,sunset_time,hours_after_sunset_x,season,time_x,time_after_0,time_y,month_y,hours_after_sunset_y,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,time_only
20/04/2018 0:02,39.0,both,20/04/2018 0:00,20/04/2018 0:18,155,0,0,4,19/04/2018 19:12,4.848888889,1,00:02,2,18/05/2018 0:02,5,4.5,45,2.0,0.0,0,00:02
20/04/2018 0:03,14.0,rat,20/04/2018 0:00,20/04/2018 0:18,207,1,0,4,19/04/2018 19:12,4.863333333,1,00:03,3,20/05/2018 0:03,5,4.5,49,2.754098361,0.0,0,00:03
20/04/2018 0:03,12.0,pick,20/04/2018 0:00,20/04/2018 0:18,185,0,1,4,19/04/2018 19:12,4.857222222,1,00:03,3,19/05/2018 0:03,5,4.5,43,2.749423963,0.0,0,00:03
20/04/2018 0:03,12.0,pick,20/04/2018 0:00,20/04/2018 0:18,185,0,1,4,19/04/2018 19:12,4.857222222,1,00:03,3,20/05/2018 0:03,5,4.5,49,2.754098361,0.0,0,00:03
20/04/2018 0:03,14.0,rat,20/04/2018 0:00,20/04/2018 0:18,207,1,0,4,19/04/2018 19:12,4.863333333,1,00:03,3,19/05/2018 0:03,5,4.5,43,2.749423963,0.0,0,00:03
20/04/2018 0:04,5.0,rat,20/04/2018 0:00,20/04/2018 0:18,235,1,0,4,19/04/2018 19:12,4.871111111,1,00:04,4,21/05/2018 0:04,5,4.5,28,2.0,0.0,0,00:04
20/04/2018 0:04,0.016181067,rat,20/04/2018 0:00,20/04/2018 0:18,262,1,0,4,19/04/2018 19:12,4.878611111,1,00:04,4,21/05/2018 0:04,5,4.5,28,2.0,0.0,0,00:04
20/04/2018 0:05,3.0,rat_and_bat,20/04/2018 0:00,20/04/2018 0:18,320,1,0,4,19/04/2018 19:12,4.894722222,1,00:05,5,23/05/2018 0:05,5,4.5,23,3.0,0.0,0,00:05
20/04/2018 0:05,3.0,rat_and_bat,20/04/2018 0:00,20/04/2018 0:18,320,1,0,4,19/04/2018 19:12,4.894722222,1,00:05,5,22/05/2018 0:05,5,4.5,20,2.0,4.7,1,00:05
20/04/2018 0:05,29.0,rat_and_bat,20/04/2018 0:00,20/04/2018 0:18,295,1,0,4,19/04/2018 19:12,4.887777778,1,00:05,5,23/05/2018 0:05,5,4.5,23,3.0,0.0,0,00:05
20/04/2018 0:05,29.0,rat_and_bat,20/04/2018 0:00,20/04/2018 0:18,295,1,0,4,19/04/2018 19:12,4.887777778,1,00:05,5,22/05/2018 0:05,5,4.5,20,2.0,4.7,1,00:05
28/04/2018 0:07,11.0,rat_and_pick,28/04/2018 0:04,28/04/2018 0:14,174,1,1,4,27/04/2018 19:18,4.829722222,1,00:07,7,12/04/2018 0:07,4,5.0,75,2.0,0.0,0,00:07
1/05/2018 0:07,1.0,rat,1/05/2018 0:06,1/05/2018 0:09,62,1,0,5,30/04/2018 19:20,4.786666667,1,00:07,7,12/04/2018 0:07,4,5.0,75,2.0,0.0,0,00:07
